sub_id,first_name,last_name,Street,Birth_date,Gender,Phone,Country,City,Zip Code,Subgrp_id,Elig_ind,eff_date,term_date
SUBID10064,,Pandey,Mangat Path,13-01-1994,Male,+91 8444537013,India,Panihati,643791,S110,N,13-01-2014,24-02-2019
SUBID1065,Dipesh,Mishra,Char Path,01-04-1949,Female,+91 5851958964,India,Kochi,31269,S103,Y,01-04-1969,02-06-1970
SUBID10066,,Seth,Chaudhuri Marg,01-09-1930,Male,+91 7061843400,India,Kolhapur,597470,S102,N,01-09-1950,01-12-1957
SUBID1067,Kishan,Rao,Badal Nagar,12-05-1923,Male,+91 9067652693,India,Srikakulam,703899,S110,Y,12-05-1943,20-09-1946
SUBID10068,,Mishra,Bath Nagar,26-02-1927,Female,+91 4984346995,India,Ambarnath,766224,S110,N,26-02-1947,30-03-1948
SUBID10069,Bhageeratha,Srivastav,Das Ganj,21-03-1973,Male,+91 0590662722,India,Sonipat,695316,S103,Y,21-03-1993,01-08-1997
SUBID10070,Balaaditya,Gupta,Varty Road,02-11-1923,Male,+91 3871269153,India,Hajipur,3526,S109,N,02-11-1943,24-09-1952
SUBID10071,,Rai,Choudhury Chowk,26-12-1941,Female,+91 9287216619,India,Vellore,239532,S101,N,26-12-1961,23-02-1969
SUBID10072,Gopal,Srivastav,Desai Street,11-03-1936,Female,+91 3791210190,India,Bidhannagar,761800,S103,Y,11-03-1956,28-07-1964
SUBID1073,Virender,Maurrya,Chakrabarti,27-10-1936,Male,+91 7734026802,India,Bhusawal,374302,S104,N,27-10-1956,27-04-1961
SUBID10074,,Singh,Kalla Path,21-11-1963,Male,+91 7881749363,India,Bokaro,866319,S105,Y,21-11-1983,29-09-1985
SUBID10075,,Singh,Iyengar Nagar,29-01-1956,Male,+91 6891482136,India,Navi Mumbai,836175,S107,N,29-01-1976,25-05-1979
SUBID10076,Mamta,Tiwari,Batra,21-12-1964,Female,+91 5559521919,India,Secunderabad,123181,S104,N,21-12-1984,08-01-1987
SUBID10077,Girija,Maurrya,Iyengar Road,25-04-1933,Male,+91 1811765039,India,Jaipur,204379,S105,N,25-04-1953,18-04-1963
SUBID10078,Aaraadhana,Rao,Raval Nagar,07-02-1980,Male,+91 2432610572,India,Jhansi,429941,S108,N,07-02-2000,06-02-2005
SUBID10079,Shahnawaz,Mishra,Agate Path,24-06-1971,Female,+91 4117017589,India,Rampur,528893,S102,Y,24-06-1991,13-09-2000
SUBID10080,Tej,Sonkar,Sarraf Chowk,11-06-1942,Male,+91 3450311029,India,Haridwar,506221,S105,Y,11-06-1962,14-10-1964
SUBID10081,Mansi,Divedi,Bhattacharyya Road,20-03-1947,Female,+91 1135113927,India,Hosur,995152,S105,Y,20-03-1967,25-07-1971
SUBID10082,Girika,Thakur,Sinha Zila,03-11-1968,Female,+91 5601148700,India,Hospet,683614,S102,N,03-11-1988,21-01-1992
SUBID10083,Bhilangana,Pandit,Ramachandran Path,04-01-1995,Female,+91 6653069630,India,Fatehpur,359466,S109,Y,04-01-2015,05-10-2017
SUBID10084,,Thakur,Raval Zila,07-06-1924,Female,+91 7367059254,India,Bhavnagar,464111,S107,Y,07-06-1944,22-05-1952
SUBID10085,Sukanya,Sonkar,Sangha Street,16-01-1942,Female,+91 5689645499,India,Vijayanagaram,226215,S101,N,16-01-1962,10-04-1967
SUBID1086,Banita,Rao,Thakur,28-01-1979,Male,+91 4743834161,India,Ghaziabad,907613,S109,N,28-01-1999,05-09-2000
SUBID1087,,Pandit,Srivastava Path,10-12-1924,Female,+91 9158965227,India,Sambhal,279219,S103,N,10-12-1944,16-07-1951
SUBID10088,,Rajput,Dua Zila,30-07-1922,Female,+91 9523946101,India,Tadipatri,743449,S110,N,30-07-1942,07-06-1949
SUBID10089,Dhuha,Tiwari,Aggarwal Street,21-08-1952,Male,+91 3188519840,India,Rampur,492137,S104,,21-08-1972,13-05-1981
SUBID10090,,Mishra,Chandran Nagar,07-06-1938,Female,+91 6869721169,India,Sikar,564747,S101,Y,07-06-1958,23-08-1967
SUBID1091,,Thakur,Bala,31-12-1930,Male,+91 9664169480,India,Kamarhati,682652,S110,Y,31-12-1950,21-06-1958
SUBID10092,,Rai,Karan Street,22-08-1940,Others,+91 7498206646,India,Ghaziabad,79586,S108,N,22-08-1960,06-10-1966
SUBID10093,Chandavarman,Singh,Sarkar Circle,10-05-1997,Others,+91 6559031791,India,Navi Mumbai,83240,S110,N,10-05-2017,27-08-2022
SUBID10094,Charanpal,Yadav,Sehgal Circle,12-10-1986,Male,+91 2196055115,India,Gurgaon,640326,S109,Y,12-10-2006,13-05-2016
SUBID10095,Ekaaksh,Rai,Bansal Ganj,02-12-1933,Others,,India,Pimpri-Chinchwad,158186,S107,N,02-12-1953,29-07-1960
SUBID10096,Chanak,Sonkar,Kaur,07-04-1959,Others,+91 7284540687,India,Raurkela Industrial Township,899590,S101,Y,07-04-1979,07-03-1986
SUBID10097,,Sonkar,Rana Ganj,04-02-1940,Others,+91 8908240160,India,Mira-Bhayandar,896586,S107,Y,04-02-1960,12-01-1965
SUBID1098,Pushkar,Kumar,Sodhi Zila,05-10-1934,Others,+91 8956368286,India,Korba,910732,S107,Y,05-10-1954,05-04-1961
SUBID10099,Shikha,Srivastav,Ahuja Road,06-09-1970,Others,+91 3042509956,India,Nanded,101500,S109,Y,06-09-1990,27-11-1997
